,0
0,276601.8999999891
1,276349.2999999892
2,276482.29999998916
3,276371.2999999893
4,276468.89999998925
5,277012.8999999892
6,276797.69999998936
7,276399.89999998914
8,276346.69999998936
9,276536.4999999893
10,276280.8999999894
11,276359.29999998934
12,276253.49999998935
13,276303.2999999894
14,276252.8999999893
15,276252.8999999893
16,276220.69999998936
17,276568.4999999892
18,276233.0999999893
19,276251.6999999893
20,276163.6999999893
21,276163.6999999893
22,275798.49999998923
23,275987.69999998924
24,275798.49999998923
25,278770.69999998924
26,276575.6999999893
27,276078.2999999892
28,275776.49999998923
29,275758.09999998927
30,276877.89999998925
31,277099.89999998925
32,277805.4999999893
33,275758.09999998927
34,275810.4999999893
35,276691.69999998924
36,275759.2999999893
37,275808.89999998914
38,275508.89999998925
39,275369.89999998925
40,275760.09999998927
41,275369.89999998925
42,275401.09999998927
43,275368.89999998925
44,275389.2999999893
45,275442.89999998925
46,275369.2999999892
47,275644.29999998916
48,275312.29999998916
49,275217.49999998923
50,275167.4999999892
51,276987.29999998916
52,275167.4999999892
53,275008.0999999893
54,275613.2999999893
55,274825.29999998934
56,274884.2999999892
57,274825.29999998934
58,275129.4999999893
59,276039.6999999894
60,274844.49999998935
61,276341.2999999893
62,274838.29999998934
63,275442.0999999892
64,274853.49999998935
65,274825.29999998934
66,274844.8999999893
67,274839.4999999892
68,274744.29999998934
69,278112.2999999892
70,274744.29999998934
71,275036.0999999893
72,274925.89999998925
73,274748.6999999893
74,275099.69999998924
75,276300.29999998934
76,275408.09999998927
77,274402.2999999892
78,275614.0999999893
79,274344.4999999892
80,275044.8999999892
81,275094.0999999892
82,274339.6999999892
83,274346.0999999892
84,274339.6999999892
85,276113.29999998916
86,274399.8999999893
87,274343.09999998915
88,275043.4999999891
89,274339.6999999892
90,275586.8999999893
91,277010.49999998935
92,274398.6999999892
93,274564.2999999893
94,274338.4999999892
95,274094.0999999892
96,274049.69999998924
97,274002.09999998927
98,274249.4999999893
99,274638.2999999892
100,274002.09999998927
101,273912.49999998935
102,273912.49999998935
103,273893.4999999893
104,273889.8999999893
105,273856.89999998925
106,273812.4999999893
107,273849.0999999894
108,274837.2999999894
109,273794.6999999893
110,275014.0999999892
111,273628.4999999893
112,273321.4999999893
113,273309.09999998927
114,278151.2999999892
115,273366.2999999893
116,274077.0999999892
117,273396.09999998915
118,273309.09999998927
119,273268.49999998923
120,274410.09999998927
121,273504.4999999893
122,273840.8999999893
123,273272.09999998927
124,273268.49999998923
125,273368.29999998934
126,273687.69999998924
127,273280.2999999893
128,273272.4999999893
129,273440.8999999892
130,277519.2999999892
131,273323.69999998936
132,273268.49999998923
133,273893.2999999892
134,273486.2999999892
135,273643.4999999893
136,273268.49999998923
137,273267.6999999893
138,273267.6999999893
139,273783.2999999893
140,273267.6999999893
141,273135.29999998934
142,273066.8999999893
143,272866.89999998925
144,272869.2999999892
145,272694.49999998923
146,273003.09999998927
147,272694.49999998923
148,272690.49999998923
149,272677.49999998923
150,272721.4999999893
151,272677.49999998923
152,272687.49999998923
153,273117.6999999892
154,273186.4999999893
155,274388.4999999892
156,274180.49999998923
157,272693.4999999893
158,272883.2999999892
159,272550.8999999892
160,272760.09999998927
161,274599.69999998936
162,272344.89999998925
163,272934.29999998934
164,272354.89999998914
165,273283.4999999894
166,272249.4999999892
167,272557.0999999892
168,272245.89999998914
169,272926.89999998925
170,272336.89999998925
171,272250.2999999893
172,272416.8999999892
173,272230.6999999893
174,272209.8999999893
175,272212.49999998935
176,272452.2999999893
177,271845.8999999893
178,276052.8999999892
179,271856.2999999893
180,271979.09999998927
181,273118.69999998936
182,271845.8999999893
183,271726.2999999893
184,272136.29999998934
185,271759.89999998925
186,271726.2999999893
187,271726.2999999893
188,271877.4999999893
189,271673.0999999892
190,272419.6999999893
191,271477.4999999893
192,271478.89999998925
193,272275.4999999893
194,275412.89999998914
195,271483.4999999893
196,271477.4999999893
197,271770.4999999893
198,272217.89999998925
199,271598.09999998927
200,272073.09999998915
201,271330.49999998923
202,271374.6999999893
