0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,0_stop,1_stop,2_stop,3_stop,4_stop,5_stop,6_stop,7_stop,8_stop,9_stop,10_stop,11_stop,12_stop,13_stop,14_stop,15_stop,16_stop,17_stop,18_stop,19_stop,20_stop,21_stop,22_stop,23_stop,24_stop,25_stop,26_stop,27_stop,28_stop,29_stop,30_stop,31_stop,32_stop,33_stop,34_stop,35_stop,36_stop,37_stop,38_stop,39_stop,40_stop,41_stop,42_stop,43_stop,44_stop,45_stop,46_stop,47_stop,48_stop,49_stop,restart_time
0.0,2.7,5.4,8.100000000000001,10.8,13.5,16.2,18.9,21.599999999999998,24.299999999999997,26.999999999999996,29.699999999999996,32.4,35.1,37.800000000000004,40.50000000000001,43.20000000000001,45.90000000000001,48.600000000000016,51.30000000000002,54.00000000000002,56.700000000000024,59.40000000000003,62.10000000000003,64.80000000000003,67.50000000000003,70.20000000000003,72.90000000000003,75.60000000000004,78.30000000000004,81.00000000000004,83.70000000000005,86.40000000000005,89.10000000000005,91.80000000000005,94.50000000000006,97.20000000000006,99.90000000000006,102.60000000000007,105.30000000000007,108.00000000000007,110.70000000000007,113.40000000000008,116.10000000000008,118.80000000000008,121.50000000000009,124.20000000000009,126.90000000000009,129.60000000000008,132.30000000000007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,135.00000000000006
5.0,7.7,10.4,13.100000000000001,15.8,18.5,21.2,23.9,26.599999999999998,29.299999999999997,31.999999999999996,34.699999999999996,37.4,40.1,42.800000000000004,45.50000000000001,48.20000000000001,50.90000000000001,53.600000000000016,56.30000000000002,59.00000000000002,61.700000000000024,64.40000000000002,67.10000000000002,69.80000000000003,72.50000000000003,75.20000000000003,77.90000000000003,80.60000000000004,83.30000000000004,86.00000000000004,88.70000000000005,91.40000000000005,94.10000000000005,96.80000000000005,99.50000000000006,102.20000000000006,104.90000000000006,107.60000000000007,110.30000000000007,113.00000000000007,115.70000000000007,118.40000000000008,121.10000000000008,123.80000000000008,126.50000000000009,129.20000000000007,131.90000000000006,134.60000000000005,137.30000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.00000000000003
10.0,12.7,15.399999999999999,18.099999999999998,20.799999999999997,23.499999999999996,26.199999999999996,28.899999999999995,31.599999999999994,34.3,37.0,39.7,42.400000000000006,45.10000000000001,47.80000000000001,50.500000000000014,53.20000000000002,55.90000000000002,58.60000000000002,61.300000000000026,64.00000000000003,66.70000000000003,69.40000000000003,72.10000000000004,74.80000000000004,77.50000000000004,80.20000000000005,82.90000000000005,85.60000000000005,88.30000000000005,91.00000000000006,93.70000000000006,96.40000000000006,99.10000000000007,101.80000000000007,104.50000000000007,107.20000000000007,109.90000000000008,112.60000000000008,115.30000000000008,118.00000000000009,120.70000000000009,123.40000000000009,126.1000000000001,128.8000000000001,131.50000000000009,134.20000000000007,136.90000000000006,139.60000000000005,142.30000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145.00000000000003
15.0,17.7,20.4,23.099999999999998,25.799999999999997,28.499999999999996,31.199999999999996,33.9,36.6,39.300000000000004,42.00000000000001,44.70000000000001,47.40000000000001,50.100000000000016,52.80000000000002,55.50000000000002,58.200000000000024,60.90000000000003,63.60000000000003,66.30000000000003,69.00000000000003,71.70000000000003,74.40000000000003,77.10000000000004,79.80000000000004,82.50000000000004,85.20000000000005,87.90000000000005,90.60000000000005,93.30000000000005,96.00000000000006,98.70000000000006,101.40000000000006,104.10000000000007,106.80000000000007,109.50000000000007,112.20000000000007,114.90000000000008,117.60000000000008,120.30000000000008,123.00000000000009,125.70000000000009,128.4000000000001,131.10000000000008,133.80000000000007,136.50000000000006,139.20000000000005,141.90000000000003,144.60000000000002,147.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,150.0
20.0,22.7,25.4,28.099999999999998,30.799999999999997,33.5,36.2,38.900000000000006,41.60000000000001,44.30000000000001,47.000000000000014,49.70000000000002,52.40000000000002,55.10000000000002,57.800000000000026,60.50000000000003,63.20000000000003,65.90000000000003,68.60000000000004,71.30000000000004,74.00000000000004,76.70000000000005,79.40000000000005,82.10000000000005,84.80000000000005,87.50000000000006,90.20000000000006,92.90000000000006,95.60000000000007,98.30000000000007,101.00000000000007,103.70000000000007,106.40000000000008,109.10000000000008,111.80000000000008,114.50000000000009,117.20000000000009,119.90000000000009,122.6000000000001,125.3000000000001,128.00000000000009,130.70000000000007,133.40000000000006,136.10000000000005,138.80000000000004,141.50000000000003,144.20000000000002,146.9,149.6,152.29999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,154.99999999999997
25.0,27.7,30.4,33.1,35.800000000000004,38.50000000000001,41.20000000000001,43.90000000000001,46.600000000000016,49.30000000000002,52.00000000000002,54.700000000000024,57.40000000000003,60.10000000000003,62.80000000000003,65.50000000000003,68.20000000000003,70.90000000000003,73.60000000000004,76.30000000000004,79.00000000000004,81.70000000000005,84.40000000000005,87.10000000000005,89.80000000000005,92.50000000000006,95.20000000000006,97.90000000000006,100.60000000000007,103.30000000000007,106.00000000000007,108.70000000000007,111.40000000000008,114.10000000000008,116.80000000000008,119.50000000000009,122.20000000000009,124.90000000000009,127.6000000000001,130.3000000000001,133.00000000000009,135.70000000000007,138.40000000000006,141.10000000000005,143.80000000000004,146.50000000000003,149.20000000000002,151.9,154.6,157.29999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,159.99999999999997
30.0,32.7,35.400000000000006,38.10000000000001,40.80000000000001,43.500000000000014,46.20000000000002,48.90000000000002,51.60000000000002,54.300000000000026,57.00000000000003,59.70000000000003,62.400000000000034,65.10000000000004,67.80000000000004,70.50000000000004,73.20000000000005,75.90000000000005,78.60000000000005,81.30000000000005,84.00000000000006,86.70000000000006,89.40000000000006,92.10000000000007,94.80000000000007,97.50000000000007,100.20000000000007,102.90000000000008,105.60000000000008,108.30000000000008,111.00000000000009,113.70000000000009,116.40000000000009,119.1000000000001,121.8000000000001,124.5000000000001,127.2000000000001,129.9000000000001,132.60000000000008,135.30000000000007,138.00000000000006,140.70000000000005,143.40000000000003,146.10000000000002,148.8,151.5,154.2,156.89999999999998,159.59999999999997,162.29999999999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,164.99999999999994
35.0,37.7,40.400000000000006,43.10000000000001,45.80000000000001,48.500000000000014,51.20000000000002,53.90000000000002,56.60000000000002,59.300000000000026,62.00000000000003,64.70000000000003,67.40000000000003,70.10000000000004,72.80000000000004,75.50000000000004,78.20000000000005,80.90000000000005,83.60000000000005,86.30000000000005,89.00000000000006,91.70000000000006,94.40000000000006,97.10000000000007,99.80000000000007,102.50000000000007,105.20000000000007,107.90000000000008,110.60000000000008,113.30000000000008,116.00000000000009,118.70000000000009,121.40000000000009,124.1000000000001,126.8000000000001,129.50000000000009,132.20000000000007,134.90000000000006,137.60000000000005,140.30000000000004,143.00000000000003,145.70000000000002,148.4,151.1,153.79999999999998,156.49999999999997,159.19999999999996,161.89999999999995,164.59999999999994,167.29999999999993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,169.99999999999991
40.0,42.7,45.400000000000006,48.10000000000001,50.80000000000001,53.500000000000014,56.20000000000002,58.90000000000002,61.60000000000002,64.30000000000003,67.00000000000003,69.70000000000003,72.40000000000003,75.10000000000004,77.80000000000004,80.50000000000004,83.20000000000005,85.90000000000005,88.60000000000005,91.30000000000005,94.00000000000006,96.70000000000006,99.40000000000006,102.10000000000007,104.80000000000007,107.50000000000007,110.20000000000007,112.90000000000008,115.60000000000008,118.30000000000008,121.00000000000009,123.70000000000009,126.40000000000009,129.10000000000008,131.80000000000007,134.50000000000006,137.20000000000005,139.90000000000003,142.60000000000002,145.3,148.0,150.7,153.39999999999998,156.09999999999997,158.79999999999995,161.49999999999994,164.19999999999993,166.89999999999992,169.5999999999999,172.2999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,174.9999999999999
45.0,47.7,50.400000000000006,53.10000000000001,55.80000000000001,58.500000000000014,61.20000000000002,63.90000000000002,66.60000000000002,69.30000000000003,72.00000000000003,74.70000000000003,77.40000000000003,80.10000000000004,82.80000000000004,85.50000000000004,88.20000000000005,90.90000000000005,93.60000000000005,96.30000000000005,99.00000000000006,101.70000000000006,104.40000000000006,107.10000000000007,109.80000000000007,112.50000000000007,115.20000000000007,117.90000000000008,120.60000000000008,123.30000000000008,126.00000000000009,128.70000000000007,131.40000000000006,134.10000000000005,136.80000000000004,139.50000000000003,142.20000000000002,144.9,147.6,150.29999999999998,152.99999999999997,155.69999999999996,158.39999999999995,161.09999999999994,163.79999999999993,166.49999999999991,169.1999999999999,171.8999999999999,174.59999999999988,177.29999999999987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.99999999999986
