in_station,out_station,time_minute,time_hour_minute
24,19,1275,21:15
3,17,1175,19:35
8,19,1024,17:04
4,6,995,16:35
12,7,1168,19:28
23,18,1145,19:05
11,14,1132,18:52
23,14,1046,17:26
5,12,1005,16:45
22,2,1085,18:05
15,19,1159,19:19
7,19,1017,16:57
13,18,1230,20:30
15,24,1140,19:00
8,13,1245,20:45
9,14,1119,18:39
24,14,1140,19:00
1,14,1370,22:50
9,16,1059,17:39
11,2,1015,16:55
12,24,1079,17:59
13,21,1086,18:06
16,7,1055,17:35
15,3,1313,21:53
19,12,1057,17:37
3,2,1233,20:33
24,18,1166,19:26
4,14,1150,19:10
9,21,1169,19:29
14,15,1124,18:44
21,2,1041,17:21
11,22,1113,18:33
13,4,1203,20:03
14,12,1080,18:00
1,13,1028,17:08
23,2,1393,23:13
14,13,1208,20:08
5,11,1269,21:09
4,12,1049,17:29
4,24,1239,20:39
12,11,1133,18:53
19,8,1044,17:24
11,18,1165,19:25
12,24,1067,17:47
10,19,1183,19:43
6,18,992,16:32
4,2,1104,18:24
7,17,1017,16:57
21,3,1157,19:17
5,13,1239,20:39
21,24,1055,17:35
3,22,1145,19:05
12,22,1048,17:28
7,24,1052,17:32
19,12,1285,21:25
3,18,1199,19:59
3,11,1129,18:49
10,13,1202,20:02
13,5,1072,17:52
3,24,1079,17:59
16,5,1195,19:55
14,17,1184,19:44
12,23,1132,18:52
5,4,1053,17:33
22,2,1055,17:35
11,6,1008,16:48
13,14,1035,17:15
3,7,1047,17:27
24,13,1213,20:13
14,8,998,16:38
6,7,1113,18:33
11,4,1002,16:42
6,12,1131,18:51
11,15,1055,17:35
1,15,1176,19:36
8,19,1140,19:00
6,14,1224,20:24
20,11,1143,19:03
2,18,1151,19:11
14,4,1151,19:11
11,4,1116,18:36
19,21,1077,17:57
5,8,1195,19:55
5,13,1153,19:13
8,14,1094,18:14
5,11,1119,18:39
20,12,1125,18:45
20,7,1078,17:58
3,13,1267,21:07
14,8,1073,17:53
23,17,1034,17:14
21,18,1215,20:15
15,13,1007,16:47
23,13,1064,17:44
5,7,1208,20:08
11,3,1009,16:49
10,15,1203,20:03
14,20,1123,18:43
4,13,1105,18:25
11,15,1111,18:31
3,20,1134,18:54
20,14,1117,18:37
9,14,1218,20:18
7,12,1101,18:21
5,22,1311,21:51
10,14,1031,17:11
2,17,1111,18:31
11,8,1077,17:57
9,7,1329,22:09
11,24,1044,17:24
11,17,1059,17:39
20,17,1056,17:36
11,5,1055,17:35
16,24,1163,19:23
15,3,1007,16:47
9,13,1175,19:35
12,6,1233,20:33
8,13,1229,20:29
7,9,1280,21:20
20,23,1098,18:18
8,17,1168,19:28
12,19,1136,18:56
17,12,1126,18:46
22,15,1024,17:04
24,13,1163,19:23
11,3,1134,18:54
13,10,1271,21:11
13,18,1063,17:43
15,24,1039,17:19
7,24,1138,18:58
7,13,1016,16:56
5,3,1080,18:00
24,2,1117,18:37
11,2,1033,17:13
11,5,1056,17:36
6,12,1156,19:16
4,13,1248,20:48
22,9,1311,21:51
18,19,1379,22:59
22,14,1009,16:49
2,18,1124,18:44
18,12,1008,16:48
19,22,1139,18:59
14,12,1076,17:56
23,13,1200,20:00
11,13,1041,17:21
22,17,991,16:31
3,18,1172,19:32
13,11,1153,19:13
21,11,1258,20:58
12,24,1263,21:03
2,7,1265,21:05
18,11,1203,20:03
9,11,1046,17:26
9,13,1089,18:09
13,8,1189,19:49
12,13,1156,19:16
22,18,1057,17:37
2,13,1044,17:24
1,15,1133,18:53
20,2,1093,18:13
7,18,1237,20:37
6,14,1146,19:06
13,18,1015,16:55
2,16,1220,20:20
15,18,1093,18:13
13,24,1258,20:58
7,18,1115,18:35
19,21,1050,17:30
17,19,1079,17:59
13,14,1001,16:41
24,12,1116,18:36
11,12,1202,20:02
7,2,1322,22:02
5,11,1182,19:42
13,15,1301,21:41
23,24,1329,22:09
7,11,1064,17:44
4,3,1135,18:55
14,8,1034,17:14
23,17,1277,21:17
13,20,1178,19:38
8,23,1059,17:39
13,20,1198,19:58
6,15,1178,19:38
13,19,1267,21:07
20,7,1003,16:43
11,15,1331,22:11
7,13,1369,22:49
9,16,1025,17:05
7,17,1155,19:15
8,17,1028,17:08
19,17,1012,16:52
24,7,1049,17:29
24,8,1206,20:06
11,8,1163,19:23
9,19,1048,17:28
11,7,991,16:31
7,13,1068,17:48
15,16,1091,18:11
15,18,1006,16:46
5,17,1171,19:31
22,18,1209,20:09
24,3,1055,17:35
20,16,1145,19:05
17,24,1031,17:11
12,6,1377,22:57
12,15,1272,21:12
11,17,1201,20:01
24,17,1118,18:38
5,14,1066,17:46
11,16,1148,19:08
8,2,1216,20:16
12,14,1170,19:30
24,21,1277,21:17
2,13,1096,18:16
24,21,1316,21:56
11,3,1053,17:33
19,13,1023,17:03
21,14,1054,17:34
13,16,1273,21:13
11,13,1236,20:36
2,19,1012,16:52
12,7,1097,18:17
22,3,1234,20:34
13,15,1155,19:15
5,20,1079,17:59
15,12,1148,19:08
4,17,1265,21:05
24,18,1173,19:33
11,1,1031,17:11
11,15,1314,21:54
13,4,1115,18:35
21,13,1104,18:24
24,13,1233,20:33
24,7,1197,19:57
5,23,1047,17:27
10,2,1066,17:46
13,5,1025,17:05
16,13,1112,18:32
2,5,1069,17:49
23,14,1178,19:38
12,17,1117,18:37
5,22,1220,20:20
9,5,1197,19:57
24,14,1104,18:24
3,8,1024,17:04
22,23,1104,18:24
24,8,1000,16:40
14,18,1113,18:33
2,7,1308,21:48
9,14,1317,21:57
12,2,1159,19:19
11,10,1103,18:23
7,17,1028,17:08
24,12,1229,20:29
3,20,1058,17:38
16,13,1067,17:47
11,2,1070,17:50
12,15,1291,21:31
14,12,1181,19:41
21,4,1149,19:09
3,17,1208,20:08
23,3,1110,18:30
20,18,1163,19:23
11,2,1094,18:14
22,11,1094,18:14
5,11,1249,20:49
6,3,995,16:35
19,13,1124,18:44
3,12,1048,17:28
13,14,1180,19:40
11,15,1268,21:08
3,4,1069,17:49
3,21,1121,18:41
5,13,1067,17:47
9,20,1209,20:09
24,7,1017,16:57
17,24,1173,19:33
1,14,1368,22:48
22,15,1261,21:01
18,22,1219,20:19
20,19,1252,20:52
15,4,1033,17:13
23,19,1076,17:56
9,13,1030,17:10
13,20,1084,18:04
8,7,1116,18:36
5,14,1216,20:16
8,3,1049,17:29
3,15,1110,18:30
11,13,1166,19:26
4,19,1224,20:24
22,9,1090,18:10
15,7,1152,19:12
13,7,1195,19:55
11,18,1155,19:15
5,15,1084,18:04
17,7,1052,17:32
5,13,1122,18:42
18,24,1111,18:31
2,3,1278,21:18
12,21,1086,18:06
21,15,1154,19:14
5,24,1137,18:57
24,7,1027,17:07
4,7,1057,17:37
10,18,1115,18:35
13,15,1024,17:04
18,13,1125,18:45
15,16,1190,19:50
22,23,1149,19:09
11,24,1050,17:30
18,12,1165,19:25
5,23,1286,21:26
21,17,1329,22:09
20,4,1051,17:31
16,12,1012,16:52
14,17,1236,20:36
17,11,1114,18:34
14,15,1196,19:56
6,3,1124,18:44
11,13,1191,19:51
9,16,1031,17:11
7,18,1251,20:51
12,23,1150,19:10
8,20,1041,17:21
11,22,1239,20:39
8,7,1242,20:42
18,17,1061,17:41
8,5,1157,19:17
9,17,1188,19:48
6,18,1219,20:19
22,7,1046,17:26
13,10,1182,19:42
19,2,1048,17:28
24,16,1069,17:49
11,4,1181,19:41
11,21,1004,16:44
10,4,1200,20:00
13,3,1122,18:42
15,2,1063,17:43
5,15,1238,20:38
15,5,1246,20:46
4,13,1098,18:18
11,12,1059,17:39
20,11,1157,19:17
11,21,1084,18:04
4,15,1013,16:53
17,24,1105,18:25
11,24,1306,21:46
4,3,1140,19:00
7,17,1239,20:39
1,11,1089,18:09
13,4,1089,18:09
3,17,1090,18:10
15,20,1148,19:08
14,3,1194,19:54
3,4,1122,18:42
18,5,1049,17:29
6,8,1080,18:00
12,17,1088,18:08
21,24,1122,18:42
6,24,1201,20:01
6,13,1215,20:15
19,11,1019,16:59
15,14,1126,18:46
17,11,1243,20:43
3,4,1221,20:21
1,12,1277,21:17
21,17,1025,17:05
13,16,996,16:36
22,17,1092,18:12
7,23,1286,21:26
5,17,1195,19:55
19,6,1046,17:26
9,5,1065,17:45
11,13,1046,17:26
2,18,1313,21:53
19,16,1147,19:07
13,17,1100,18:20
9,19,1065,17:45
11,24,1154,19:14
7,3,1252,20:52
24,14,1087,18:07
3,14,1112,18:32
19,13,1005,16:45
3,8,1275,21:15
10,17,1207,20:07
4,18,1105,18:25
8,19,1154,19:14
17,12,1047,17:27
9,13,1079,17:59
24,17,1211,20:11
7,22,1063,17:43
16,21,1067,17:47
21,17,1012,16:52
23,13,1030,17:10
2,14,1165,19:25
18,24,1134,18:54
7,3,1113,18:33
13,15,1079,17:59
13,17,1086,18:06
9,4,1061,17:41
14,11,1105,18:25
21,6,1064,17:44
11,17,1213,20:13
8,17,1187,19:47
20,14,1060,17:40
11,20,1083,18:03
3,16,1168,19:28
12,2,1066,17:46
22,15,1024,17:04
17,15,1127,18:47
21,13,1151,19:11
11,15,1102,18:22
15,22,1064,17:44
14,13,1154,19:14
13,7,1077,17:57
7,13,1163,19:23
7,2,1211,20:11
6,24,1018,16:58
23,4,1107,18:27
9,13,1061,17:41
23,11,1150,19:10
7,5,1124,18:44
23,14,1089,18:09
3,15,1032,17:12
13,18,1152,19:12
11,12,1031,17:11
19,13,1100,18:20
11,18,1083,18:03
13,5,999,16:39
13,17,1065,17:45
11,9,1130,18:50
2,19,1225,20:25
22,15,1034,17:14
21,17,1166,19:26
8,19,1125,18:45
4,21,1224,20:24
6,5,1171,19:31
9,3,1043,17:23
11,7,1035,17:15
8,3,1130,18:50
11,12,1064,17:44
11,7,1161,19:21
12,6,1118,18:38
11,18,1029,17:09
11,14,1074,17:54
7,13,1064,17:44
8,23,1056,17:36
5,13,1116,18:36
23,4,1044,17:24
7,4,1024,17:04
20,18,1073,17:53
23,14,1196,19:56
7,11,1176,19:36
