in_station,out_station,time_minute,time_hour_minute
19,24,485,08:05
17,3,589,09:49
19,8,560,09:20
6,4,569,09:29
7,12,466,07:46
18,23,498,08:18
14,11,411,06:51
14,23,396,06:36
12,5,460,07:40
2,22,409,06:49
19,15,478,07:58
19,7,485,08:05
18,13,527,08:47
24,15,565,09:25
13,8,526,08:46
14,9,423,07:03
14,24,513,08:33
14,1,529,08:49
16,9,416,06:56
2,11,465,07:45
24,12,436,07:16
21,13,634,10:34
7,16,399,06:39
3,15,464,07:44
12,19,469,07:49
2,3,482,08:02
18,24,489,08:09
14,4,564,09:24
21,9,427,07:07
15,14,566,09:26
2,21,374,06:14
22,11,642,10:42
4,13,529,08:49
12,14,516,08:36
13,1,498,08:18
2,23,508,08:28
13,14,395,06:35
11,5,551,09:11
12,4,515,08:35
24,4,463,07:43
11,12,407,06:47
8,19,512,08:32
18,11,404,06:44
24,12,424,07:04
19,10,495,08:15
18,6,570,09:30
2,4,594,09:54
17,7,555,09:15
3,21,538,08:58
13,5,368,06:08
24,21,518,08:38
22,3,461,07:41
22,12,402,06:42
24,7,461,07:41
12,19,445,07:25
18,3,377,06:17
11,3,462,07:42
13,10,500,08:20
5,13,571,09:31
24,3,509,08:29
5,16,410,06:50
17,14,579,09:39
23,12,563,09:23
4,5,486,08:06
2,22,562,09:22
6,11,446,07:26
14,13,506,08:26
7,3,431,07:11
13,24,443,07:23
8,14,512,08:32
7,6,381,06:21
4,11,499,08:19
12,6,486,08:06
15,11,361,06:01
15,1,574,09:34
19,8,611,10:11
14,6,379,06:19
11,20,466,07:46
18,2,572,09:32
4,14,466,07:46
4,11,442,07:22
21,19,578,09:38
8,5,504,08:24
13,5,395,06:35
14,8,457,07:37
11,5,589,09:49
12,20,497,08:17
7,20,476,07:56
13,3,502,08:22
8,14,526,08:46
17,23,397,06:37
18,21,416,06:56
13,15,365,06:05
13,23,499,08:19
7,5,429,07:09
3,11,376,06:16
15,10,479,07:59
20,14,428,07:08
13,4,429,07:09
15,11,467,07:47
20,3,537,08:57
14,20,450,07:30
14,9,488,08:08
12,7,509,08:29
22,5,487,08:07
14,10,476,07:56
17,2,459,07:39
8,11,537,08:57
7,9,536,08:56
24,11,531,08:51
17,11,389,06:29
17,20,379,06:19
5,11,482,08:02
24,16,522,08:42
3,15,441,07:21
13,9,480,08:00
6,12,502,08:22
13,8,554,09:14
9,7,372,06:12
23,20,600,10:00
17,8,517,08:37
19,12,393,06:33
12,17,426,07:06
15,22,479,07:59
13,24,413,06:53
3,11,443,07:23
10,13,445,07:25
18,13,511,08:31
24,15,491,08:11
24,7,492,08:12
13,7,665,11:05
