in_station,out_station,time_minute,time_hour_minute
19,24,528,08:48
17,3,440,07:20
19,8,439,07:19
6,4,447,07:27
7,12,455,07:35
18,23,466,07:46
14,11,539,08:59
14,23,455,07:35
12,5,491,08:11
2,22,462,07:42
19,15,518,08:38
19,7,460,07:40
18,13,507,08:27
24,15,530,08:50
13,8,506,08:26
14,9,484,08:04
14,24,484,08:04
14,1,446,07:26
16,9,463,07:43
2,11,511,08:31
24,12,460,07:40
21,13,510,08:30
7,16,535,08:55
3,15,503,08:23
12,19,479,07:59
2,3,427,07:07
18,24,438,07:18
14,4,464,07:44
21,9,480,08:00
15,14,441,07:21
2,21,467,07:47
22,11,474,07:54
4,13,467,07:47
12,14,425,07:05
13,1,467,07:47
2,23,494,08:14
13,14,469,07:49
11,5,494,08:14
12,4,429,07:09
24,4,478,07:58
11,12,490,08:10
8,19,460,07:40
18,11,504,08:24
24,12,492,08:12
19,10,494,08:14
18,6,495,08:15
2,4,438,07:18
17,7,500,08:20
3,21,445,07:25
13,5,508,08:28
24,21,477,07:57
22,3,527,08:47
22,12,473,07:53
24,7,484,08:04
12,19,490,08:10
18,3,481,08:01
11,3,519,08:39
13,10,512,08:32
5,13,518,08:38
24,3,489,08:09
5,16,441,07:21
17,14,456,07:36
23,12,444,07:24
4,5,514,08:34
2,22,473,07:53
6,11,526,08:46
14,13,522,08:42
7,3,449,07:29
13,24,458,07:38
8,14,491,08:11
7,6,450,07:30
4,11,535,08:55
12,6,534,08:54
15,11,474,07:54
15,1,521,08:41
19,8,513,08:33
14,6,450,07:30
11,20,534,08:54
18,2,421,07:01
4,14,438,07:18
4,11,487,08:07
21,19,530,08:50
8,5,505,08:25
13,5,437,07:17
14,8,461,07:41
11,5,432,07:12
12,20,427,07:07
7,20,432,07:12
13,3,454,07:34
8,14,456,07:36
17,23,426,07:06
18,21,510,08:30
13,15,470,07:50
13,23,446,07:26
7,5,500,08:20
3,11,458,07:38
15,10,504,08:24
20,14,483,08:03
13,4,444,07:24
15,11,515,08:35
20,3,425,07:05
14,20,501,08:21
14,9,435,07:15
12,7,505,08:25
22,5,521,08:41
14,10,506,08:26
17,2,434,07:14
8,11,478,07:58
7,9,472,07:52
24,11,540,09:00
17,11,433,07:13
17,20,537,08:57
5,11,469,07:49
24,16,453,07:33
3,15,530,08:50
13,9,442,07:22
6,12,469,07:49
13,8,435,07:15
9,7,459,07:39
23,20,486,08:06
17,8,532,08:52
19,12,479,07:59
12,17,517,08:37
15,22,463,07:43
13,24,514,08:34
3,11,505,08:25
10,13,509,08:29
18,13,519,08:39
24,15,470,07:50
24,7,475,07:55
13,7,534,08:54
3,5,529,08:49
2,24,475,07:55
2,11,429,07:09
5,11,478,07:58
12,6,443,07:23
13,4,522,08:42
9,22,437,07:17
19,18,447,07:27
14,22,522,08:42
