start_,end_,time
3,9,534
15,9,423
8,5,468
16,15,496
11,15,547
15,13,553
8,15,471
6,17,652
15,16,656
9,10,575
15,10,522
1,2,627
3,16,502
4,10,519
18,7,615
10,16,537
7,15,588
9,18,616
11,0,536
1,17,599
4,10,531
14,4,600
5,15,490
10,16,571
13,2,507
10,13,616
10,5,618
10,15,507
2,4,539
12,9,643
11,1,638
3,4,616
13,5,529
12,15,611
15,7,462
14,4,612
1,6,487
8,18,626
14,17,472
15,5,426
6,3,476
11,16,579
3,17,569
11,9,510
13,9,470
12,11,479
8,5,543
12,4,615
13,10,472
4,3,656
13,16,563
8,14,609
4,13,654
10,7,634
15,3,499
17,2,533
17,14,628
13,14,585
15,4,435
7,2,441
4,6,587
9,4,476
15,13,527
8,16,588
4,3,653
6,11,562
12,7,600
15,4,531
11,7,427
2,4,659
8,12,447
16,4,576
8,4,546
17,16,467
9,8,442
13,2,513
2,10,615
9,2,456
12,13,493
14,16,437
8,19,467
7,17,568
6,11,520
14,10,499
15,17,458
11,12,570
12,9,656
13,16,523
15,5,630
8,10,512
11,18,591
14,6,534
17,15,621
2,17,556
3,5,455
3,7,449
2,16,563
2,0,553
14,15,481
15,2,609
9,10,534
1,12,630
12,10,421
18,4,441
2,17,504
13,6,449
8,6,432
4,9,547
5,2,536
8,16,601
10,8,555
4,19,527
4,8,438
3,4,605
15,3,501
16,5,552
14,9,618
6,12,520
1,10,425
5,19,584
19,9,567
11,13,589
9,13,472
3,4,422
16,9,547
13,16,505
15,2,539
9,11,600
13,16,460
16,3,647
1,11,625
10,14,568
3,14,456
17,5,647
17,9,450
4,11,534
2,14,570
11,18,462
11,7,461
8,3,511
3,10,431
17,5,554
9,5,457
12,1,597
11,10,572
14,6,560
4,5,499
10,5,434
15,13,460
14,5,648
8,11,525
5,12,450
9,12,551
8,3,624
4,18,606
19,14,515
16,4,604
18,15,423
8,12,548
11,3,659
15,9,631
3,2,605
4,17,599
14,10,659
14,15,475
0,9,509
19,5,604
5,8,624
9,14,462
4,16,509
18,14,556
5,3,457
5,9,452
2,17,606
9,12,632
17,10,570
4,5,656
2,4,575
2,10,650
15,0,599
5,3,548
15,5,560
4,3,626
5,4,519
12,19,549
15,3,532
3,16,485
5,16,425
2,4,638
9,16,614
12,2,427
2,4,506
14,8,425
4,14,525
16,3,652
10,9,648
3,15,577
17,16,432
10,1,437
19,1,525
15,10,588
16,11,659
5,3,456
18,5,545
8,7,571
9,19,618
9,18,583
15,3,622
7,15,558
8,11,428
10,14,625
9,17,460
10,17,448
8,11,512
17,10,541
19,15,599
15,14,594
14,3,504
11,16,463
16,2,488
5,7,613
9,3,525
14,11,587
13,17,439
11,18,475
1,16,640
17,14,425
2,7,455
19,15,455
19,2,528
13,5,535
14,9,512
19,11,507
5,11,659
13,6,601
8,9,499
12,11,504
6,0,513
2,14,449
14,11,543
17,13,503
3,16,635
2,16,427
4,3,432
16,10,537
15,19,613
7,8,461
16,3,588
5,1,490
6,17,588
7,16,421
16,19,592
2,5,478
12,16,584
1,6,567
3,15,450
10,17,453
4,14,457
14,11,453
3,2,522
4,16,487
0,18,651
4,18,603
10,5,587
7,9,507
14,15,585
15,6,481
6,7,562
3,16,633
19,7,519
12,13,648
6,2,658
13,4,598
12,10,440
3,2,485
11,14,500
9,19,562
11,9,624
14,3,458
6,2,422
4,1,424
9,7,656
12,4,456
2,11,526
3,7,618
11,4,516
10,1,443
9,5,559
4,13,528
16,17,598
17,12,432
16,15,427
14,6,539
14,9,445
15,10,545
14,3,499
6,2,551
9,14,525
4,15,516
8,3,658
3,14,584
2,9,538
9,4,528
11,8,578
5,3,552
3,12,615
18,17,551
3,5,508
19,18,441
9,14,606
8,11,521
5,15,643
1,4,552
6,3,548
15,17,530
9,10,475
13,4,590
18,8,569
10,15,439
16,14,520
10,4,649
3,9,565
8,15,505
9,15,475
7,3,506
15,4,604
7,10,492
10,16,448
2,7,477
1,4,434
15,16,509
15,1,537
12,13,644
5,9,601
8,14,529
16,17,450
7,11,504
14,11,644
16,2,627
8,4,622
16,3,629
4,3,545
9,14,498
4,7,565
11,3,655
8,15,468
13,4,575
3,7,592
8,17,628
12,13,561
4,10,499
11,5,424
14,4,521
4,16,599
10,5,573
12,17,444
17,13,510
3,8,499
10,1,627
4,1,430
2,7,648
12,10,638
11,2,481
3,4,603
11,9,496
17,4,594
15,9,513
17,5,443
6,12,445
4,1,461
11,9,567
13,3,563
4,1,466
9,10,521
12,4,553
9,10,488
15,10,585
3,4,537
5,18,455
14,4,608
17,3,483
15,12,596
8,13,441
8,3,560
3,16,554
7,9,573
3,10,496
16,15,441
11,14,480
12,2,568
10,8,643
19,13,513
18,12,457
12,3,607
16,14,508
9,12,607
1,16,643
4,14,542
10,17,654
1,14,454
3,14,509
6,12,435
5,15,602
12,19,650
15,3,552
12,1,609
10,7,492
7,15,533
13,3,587
18,3,518
12,18,655
1,14,514
10,8,559
2,14,522
9,15,606
4,6,498
6,14,566
15,12,525
12,16,639
16,15,566
14,9,560
9,14,596
10,16,569
15,10,544
3,13,582
9,2,568
3,18,464
15,19,454
5,16,455
13,6,445
5,7,421
15,3,518
5,6,580
11,9,480
3,17,614
11,14,621
2,17,551
9,10,631
17,16,425
15,8,509
11,19,546
2,18,575
13,7,550
11,5,597
4,14,603
15,14,505
4,15,545
16,3,550
4,16,578
15,9,543
1,14,659
15,10,645
15,16,457
9,19,449
12,2,604
1,14,601
15,8,511
13,15,628
4,8,424
17,13,652
14,11,424
14,9,544
17,12,523
15,5,443
11,10,644
8,2,432
8,16,605
4,2,610
6,16,567
5,9,557
13,5,465
4,15,478
3,6,640
4,9,647
4,14,645
15,3,646
5,3,517
8,3,460
6,3,659
2,6,518
2,6,629
15,11,619
4,8,436
5,8,475
4,2,620
2,3,658
12,9,544
7,4,551
15,3,475
11,8,433
8,9,526
4,7,430
3,19,533
3,15,596
12,17,630
15,18,505
12,8,581
8,4,461
15,16,513
16,10,612
17,5,574
17,11,532
11,3,585
19,5,494
9,4,467
18,2,565
12,15,472
8,5,571
10,18,464
9,18,528
19,8,533
16,14,611
10,14,611
8,9,659
9,14,649
16,15,508
5,13,646
2,7,440
9,17,527
3,9,447
9,16,598
0,2,578
7,4,557
8,4,523
5,4,603
2,11,651
14,18,490
4,19,423
17,19,554
6,0,606
10,3,651
10,12,590
16,10,524
9,2,463
10,14,524
18,11,566
19,16,575
13,10,501
10,17,630
9,10,626
14,16,588
12,2,441
4,9,645
15,8,642
2,13,638
7,9,601
4,2,483
9,14,449
13,17,433
2,11,451
12,10,635
1,4,603
3,7,504
11,16,424
11,3,575
14,5,536
18,4,646
3,8,513
1,5,480
7,13,629
1,7,562
15,10,552
7,11,550
9,3,500
11,8,467
3,11,550
11,15,478
5,4,562
12,5,475
4,2,578
3,11,649
5,16,558
7,19,447
10,7,602
16,9,574
2,13,595
5,4,469
8,12,488
3,15,619
9,6,489
11,5,532
10,4,608
7,9,555
12,5,644
9,5,528
11,12,491
16,15,560
7,15,428
7,3,420
9,18,489
18,7,500
13,2,494
9,12,467
16,14,531
1,12,442
15,6,655
15,7,627
4,15,642
9,7,482
6,17,528
2,6,556
10,5,543
13,17,446
14,18,489
2,11,659
18,7,423
11,12,640
8,16,622
15,1,516
11,12,540
8,14,515
10,12,494
11,9,598
15,9,452
9,10,431
16,17,506
15,13,456
13,0,655
10,1,429
3,7,537
16,9,505
3,15,510
6,5,621
14,8,432
16,10,535
10,4,424
11,8,466
6,4,430
7,5,513
13,8,534
8,19,583
16,8,648
9,3,422
10,8,548
3,8,505
7,5,586
17,15,541
4,15,440
5,13,603
14,8,448
4,9,537
0,12,607
14,11,600
2,10,431
17,18,572
18,14,459
3,16,539
8,18,566
14,3,616
14,16,538
9,17,598
11,10,478
15,3,439
18,6,504
12,2,428
16,10,526
13,14,430
4,10,614
4,6,493
3,13,455
4,16,566
10,2,440
18,15,460
4,5,573
8,18,616
6,9,608
3,12,490
8,15,597
5,1,462
1,2,569
11,4,614
7,4,573
12,10,581
8,5,512
16,1,573
15,2,425
16,15,428
17,11,652
8,9,589
19,1,521
17,9,615
7,4,571
4,10,544
15,3,641
4,15,602
15,11,511
18,12,542
14,13,527
18,16,500
5,17,557
12,4,536
18,14,501
16,10,478
3,13,471
9,11,520
14,15,615
12,17,657
5,3,588
3,9,520
11,10,470
10,6,637
10,13,612
13,15,474
13,10,550
11,8,540
3,13,478
11,17,441
3,6,508
18,2,655
14,17,445
0,16,611
3,16,639
17,6,472
19,11,577
18,17,442
10,14,530
10,3,475
5,18,476
1,15,555
2,6,505
3,2,511
16,10,565
4,17,543
14,5,613
6,0,433
4,3,636
9,14,559
18,2,569
15,2,654
2,5,443
10,2,542
1,14,543
4,7,529
4,5,587
15,4,598
3,9,576
4,15,486
16,13,610
8,11,457
8,4,644
3,15,584
13,15,480
12,3,581
10,5,617
8,9,446
16,11,426
4,16,609
10,14,460
1,14,516
11,19,479
4,2,625
19,12,545
17,13,533
9,12,643
15,3,547
4,11,620
16,5,643
15,4,561
14,16,437
3,10,482
13,16,642
15,13,447
2,18,462
4,6,457
5,7,550
16,5,649
4,8,446
17,6,427
14,7,574
3,4,621
4,14,587
12,10,492
14,5,534
5,9,550
11,5,558
14,12,469
17,1,473
13,5,483
13,8,498
9,17,627
17,5,620
4,14,586
6,2,597
4,11,534
7,17,605
13,5,511
11,16,520
6,10,443
3,8,459
10,8,637
14,13,428
15,13,602
6,14,500
10,9,651
3,15,506
12,7,625
3,19,503
1,3,530
19,8,607
15,3,613
8,4,535
3,4,599
13,2,607
1,9,526
11,5,564
14,12,639
10,8,611
10,16,428
15,14,509
6,9,534
14,13,488
16,13,515
17,5,581
11,15,503
2,9,631
18,2,646
13,9,485
2,9,570
9,6,515
2,5,516
17,15,643
15,8,457
11,8,533
17,6,605
6,8,584
3,10,504
11,2,505
17,10,425
15,5,604
5,12,450
14,16,593
15,8,479
16,4,659
12,2,503
7,12,538
12,16,643
7,17,518
3,10,560
6,15,519
4,3,638
2,10,492
8,12,491
11,2,545
4,15,481
10,9,483
3,4,444
10,18,433
11,3,608
16,13,451
7,13,544
4,12,654
13,14,487
2,10,499
15,10,478
12,11,500
13,8,470
17,13,441
7,4,465
16,8,530
11,0,650
11,0,563
12,11,455
9,4,438
8,11,438
13,10,630
13,10,456
18,3,640
2,14,460
2,12,599
10,13,496
6,7,526
9,16,547
0,9,554
11,14,620
19,3,456
10,11,535
3,1,534
10,11,628
15,3,545
13,8,610
14,5,489
17,4,436
4,14,472
3,14,636
13,4,439
11,16,579
5,11,515
11,4,584
5,4,431
15,4,640
7,19,549
9,10,505
11,4,608
12,7,476
11,9,540
6,15,444
3,12,439
9,10,546
15,0,561
1,15,535
7,2,653
5,13,540
15,19,489
9,6,647
14,7,555
17,7,506
2,11,552
9,5,576
7,16,603
16,11,494
6,4,460
3,19,434
3,5,532
5,10,423
17,12,499
15,9,529
9,15,632
7,3,528
19,14,559
9,14,575
4,9,581
4,15,500
2,9,500
7,11,655
5,15,562
17,4,644
10,15,515
15,16,427
9,7,641
16,15,506
8,9,480
7,15,577
12,17,530
3,1,526
14,12,533
12,4,620
4,3,432
10,4,638
10,18,465
4,8,581
10,7,520
10,7,653
14,3,596
3,5,641
3,15,559
3,4,658
8,7,456
11,14,493
3,17,427
7,4,481
9,12,561
9,2,605
11,18,625
17,2,553
5,14,434
9,10,551
10,0,571
14,8,451
11,5,440
5,10,619
18,3,435
13,8,544
17,12,483
10,8,603
16,11,426
18,9,420
10,3,595
10,8,423
15,9,424
4,12,654
4,14,612
4,1,520
18,15,470
13,16,434
18,7,434
15,12,479
2,15,578
19,5,647
6,14,448
7,16,599
12,7,598
1,13,525
7,2,540
3,15,647
18,16,561
7,4,641
16,3,635
3,4,466
14,2,540
16,15,646
9,11,601
16,13,601
9,8,553
8,4,437
6,3,464
2,15,456
8,9,643
4,16,595
14,4,465
13,3,422
16,14,507
7,3,466
16,8,534
5,3,651
4,11,586
11,7,583
11,9,652
9,14,528
3,17,621
19,10,467
16,10,555
14,10,455
1,16,456
3,4,644
12,9,510
9,4,621
4,2,572
2,7,423
9,5,501
4,9,591
9,14,572
19,3,614
6,3,578
6,16,523
7,17,466
3,5,567
9,10,615
2,3,594
1,8,549
5,0,564
1,4,427
15,2,652
12,16,557
9,3,656
5,18,477
17,16,440
2,11,615
4,16,529
9,3,655
6,5,473
4,3,536
6,17,633
5,3,559
10,6,508
12,4,615
5,8,561
11,3,565
9,14,448
3,15,566
14,6,446
13,10,604
15,9,494
11,14,565
12,3,579
7,9,443
6,5,485
17,9,494
5,15,432
7,12,470
4,15,517
6,18,486
14,7,631
7,13,569
5,3,492
12,13,433
3,7,448
8,2,468
16,11,603
4,13,522
7,8,588
11,14,433
9,10,609
2,13,533
1,10,450
11,1,609
12,16,625
5,14,518
8,17,474
13,1,617
4,5,429
12,1,612
12,7,448
7,0,435
12,16,449
14,15,475
14,4,586
10,16,657
11,3,437
17,15,634
10,2,454
7,4,508
10,12,578
11,4,453
3,14,608
17,5,620
5,12,550
4,5,456
12,10,636
16,2,530
5,2,476
7,15,490
7,13,626
5,8,472
15,12,657
10,15,474
8,11,551
5,19,505
12,15,496
9,10,646
10,1,571
2,1,558
9,4,610
15,12,471
14,4,605
7,3,597
15,13,433
18,11,625
18,15,617
14,19,492
11,16,608
14,8,554
15,7,619
15,2,516
12,10,457
7,3,476
11,7,436
16,14,609
9,16,548
14,6,516
3,4,426
17,2,605
11,9,427
3,19,600
11,2,497
9,15,445
3,15,522
14,2,577
8,3,510
9,4,449
2,16,563
0,14,641
16,10,638
5,4,521
3,4,517
9,13,641
4,10,603
16,12,530
3,11,509
