start_,end_,time
15,8,657
8,10,483
12,10,470
3,17,505
10,2,593
9,2,434
10,9,558
10,14,611
10,1,539
19,10,512
11,10,480
4,5,596
13,2,541
4,15,431
11,4,441
5,10,622
10,6,627
8,11,493
10,17,623
9,16,644
19,12,539
17,4,562
5,7,517
14,6,509
13,18,508
4,0,570
17,19,542
15,16,566
9,15,448
10,11,638
19,10,595
12,18,421
10,5,552
11,17,500
18,6,556
3,16,622
8,9,590
17,10,438
3,11,459
17,5,495
2,5,541
14,2,602
3,4,476
1,14,536
19,16,423
10,4,560
17,14,522
14,18,510
7,10,609
0,19,548
4,10,608
8,11,427
11,5,423
5,16,505
5,9,433
10,11,605
11,10,568
15,2,560
1,3,445
12,8,527
10,12,653
9,8,501
14,15,461
2,13,599
16,11,571
19,2,613
2,16,616
10,0,655
1,3,423
5,7,571
9,5,474
11,13,566
9,19,628
10,17,597
10,2,575
3,7,558
12,2,582
4,11,547
9,11,521
17,13,528
5,19,524
14,4,428
16,13,592
2,1,565
10,15,484
2,3,484
5,18,567
6,9,588
16,3,653
3,1,421
19,6,427
17,5,543
15,19,575
8,10,608
19,9,437
16,17,425
12,4,563
17,4,599
15,1,472
19,14,468
0,9,600
14,13,613
10,17,493
1,6,610
12,5,528
3,15,635
6,11,561
9,17,527
11,4,460
6,16,608
16,9,441
11,3,580
18,10,628
16,9,618
17,19,493
10,4,630
4,11,435
15,5,553
5,12,488
4,10,445
2,5,547
4,10,603
11,4,511
18,9,449
3,5,486
3,16,503
6,11,520
17,19,469
10,2,611
12,3,421
4,3,490
5,7,637
18,11,480
14,4,547
18,15,482
10,13,423
3,18,507
13,17,582
9,19,555
6,9,497
8,9,555
8,14,565
16,14,422
10,6,558
9,19,503
5,7,589
5,10,545
9,2,622
18,14,564
7,19,567
7,13,618
2,9,656
1,11,479
16,10,507
17,4,439
6,2,540
8,5,592
18,3,582
16,9,431
16,11,649
3,19,654
17,4,474
4,15,440
17,6,634
17,4,528
5,3,491
1,15,440
9,3,521
8,6,470
3,4,602
11,17,486
0,4,633
2,10,481
16,18,421
15,16,513
15,5,489
0,15,651
15,10,556
15,10,439
9,19,503
0,14,518
7,3,575
10,15,491
7,10,455
18,12,540
2,3,547
3,1,448
14,17,501
2,11,470
17,16,465
18,15,454
15,8,427
13,4,637
