start_,end_,time
6,9,453
19,11,642
15,11,434
9,7,567
6,10,638
11,15,547
0,4,587
3,15,471
2,12,509
9,19,649
2,6,498
10,15,658
14,12,455
1,2,611
17,19,644
19,0,567
10,0,508
4,18,457
4,3,465
19,13,453
14,0,551
17,3,553
7,16,566
0,14,464
1,6,651
14,0,474
8,19,433
11,2,523
4,12,554
3,19,512
0,13,430
12,4,488
7,6,654
15,3,635
9,14,554
8,4,605
16,10,479
2,7,629
7,5,611
2,14,485
16,6,533
19,10,545
1,0,566
9,4,425
8,12,579
8,11,566
8,13,521
16,8,511
7,14,654
10,14,544
1,12,484
0,10,643
1,19,655
0,17,624
10,14,624
7,0,444
15,14,644
16,12,502
9,17,528
17,5,518
9,6,619
17,11,639
16,5,483
10,16,652
13,10,577
19,17,508
16,10,641
12,16,440
16,15,583
5,4,621
11,7,451
9,14,582
14,12,529
2,1,595
9,8,457
6,7,634
15,4,647
14,15,483
16,18,561
5,3,496
2,16,506
11,7,486
17,1,506
3,18,488
16,12,555
7,11,481
7,10,635
8,4,473
17,8,563
15,5,500
13,16,556
17,9,465
0,11,649
2,1,482
8,12,466
2,16,575
4,15,536
19,17,597
18,9,428
10,13,530
9,17,555
11,15,441
4,7,526
14,11,625
7,10,523
1,10,652
17,4,509
5,16,575
12,6,587
6,13,479
0,11,630
11,7,500
3,13,573
7,1,630
13,18,470
1,6,424
9,12,649
1,13,516
19,3,590
10,19,522
5,18,507
9,18,463
7,6,499
0,11,589
13,1,569
13,12,466
9,1,430
13,12,594
6,17,552
7,2,592
0,5,612
2,12,516
18,17,430
7,9,582
7,19,587
15,4,574
3,8,609
13,15,613
5,16,543
9,10,619
17,7,480
11,8,458
11,0,607
15,5,502
12,5,470
7,3,509
14,18,533
2,13,573
2,15,431
14,7,537
14,4,427
18,14,530
9,17,514
10,17,464
15,8,448
6,3,641
13,2,561
2,12,496
1,12,479
12,10,605
5,2,617
6,7,519
2,1,503
8,17,629
14,6,514
15,13,478
6,12,599
9,11,477
10,2,571
11,8,616
18,3,521
9,8,547
9,3,435
2,14,526
13,10,484
5,15,462
13,12,554
6,3,534
2,15,519
17,0,441
3,18,468
13,18,552
16,4,492
9,15,498
10,7,462
15,4,440
3,17,504
18,7,477
13,5,507
2,8,542
2,5,610
10,17,622
5,13,643
0,11,519
11,10,510
12,10,491
3,19,613
15,18,558
2,10,440
3,0,549
6,14,568
5,14,439
16,0,624
14,6,659
14,8,487
5,1,458
16,11,479
2,17,471
5,18,566
7,16,457
7,0,636
5,4,613
7,14,659
12,13,513
1,11,578
11,18,502
8,19,421
13,0,617
16,5,611
11,15,451
14,18,655
4,17,551
16,0,613
18,14,429
9,12,574
13,3,600
12,5,527
0,5,515
16,8,483
17,4,483
15,7,629
14,2,464
10,11,477
11,15,512
4,7,648
17,4,536
13,7,601
17,15,641
9,17,484
13,10,458
5,11,599
8,19,425
9,13,591
6,12,535
5,3,548
13,17,579
5,1,522
0,12,594
4,13,525
13,2,636
4,6,588
6,18,461
17,5,635
17,11,473
8,14,478
17,9,446
13,2,554
9,18,544
17,6,503
8,15,494
17,0,453
4,6,514
17,15,446
7,17,619
3,18,437
7,8,631
7,1,622
2,3,496
5,16,632
2,1,486
8,14,486
13,2,506
11,4,424
0,9,500
3,1,533
5,13,454
12,11,479
14,8,482
12,10,511
12,16,537
10,19,522
16,17,579
5,18,494
9,15,526
19,13,603
10,14,442
12,10,528
2,15,617
12,0,628
17,10,426
10,4,573
9,4,446
16,14,455
4,19,516
16,12,482
11,14,458
15,11,424
7,10,450
14,8,637
9,15,543
0,11,430
12,1,648
12,4,564
1,12,446
3,4,547
1,15,438
10,9,490
10,5,637
6,8,542
15,18,578
18,10,446
0,12,499
12,7,627
0,13,444
17,1,536
16,7,560
3,2,515
9,11,649
7,14,456
15,2,519
12,0,501
18,3,578
15,14,653
1,17,648
14,18,526
0,2,643
4,2,533
9,5,655
12,1,618
3,13,470
17,15,424
3,12,589
5,18,541
19,9,453
3,7,527
16,7,480
18,9,600
5,17,594
8,10,453
3,7,567
19,9,612
8,14,483
0,7,449
1,5,446
4,7,507
19,6,435
16,4,424
6,0,560
1,7,577
4,1,514
1,7,496
11,16,614
18,4,501
18,10,601
6,12,504
7,4,621
0,6,492
8,4,538
2,8,445
7,1,526
10,15,463
8,11,431
9,10,552
14,10,649
18,3,453
1,11,658
12,13,631
8,19,444
13,1,578
16,14,498
4,16,650
7,17,591
4,7,429
16,10,508
17,5,495
7,16,520
13,11,611
12,15,445
5,0,536
10,17,521
9,0,589
4,5,601
3,16,611
9,5,460
19,17,450
0,8,459
16,13,640
19,16,650
2,12,530
13,15,470
2,4,555
1,2,532
12,10,509
13,19,528
8,6,611
12,17,605
16,10,524
12,15,460
16,17,592
15,18,640
10,9,433
6,5,463
12,9,649
1,18,605
16,6,517
6,2,491
6,7,443
7,9,503
2,19,517
19,17,493
3,14,505
17,6,454
7,2,487
12,3,578
18,17,515
19,0,479
3,13,477
2,10,478
11,2,567
9,14,580
15,18,556
10,3,514
19,10,567
19,3,588
15,3,458
16,14,640
5,11,578
7,6,543
6,4,603
4,7,542
18,1,486
13,4,611
11,1,454
9,17,493
3,0,553
14,2,647
15,2,464
5,11,531
11,10,644
2,18,542
9,8,486
8,1,553
3,5,523
18,3,520
8,19,427
8,14,436
19,2,481
8,17,537
1,6,435
10,4,621
1,17,506
13,8,522
3,7,558
13,4,486
5,2,506
12,16,508
19,5,601
10,16,446
11,19,540
3,0,578
19,8,469
17,11,459
11,12,429
13,14,520
2,17,559
6,13,648
19,14,599
17,15,646
1,17,466
12,18,587
19,1,485
6,17,594
2,15,428
13,6,513
18,2,484
5,13,521
3,16,616
10,16,555
6,17,559
6,11,513
15,19,642
14,19,517
14,9,495
18,1,446
8,1,601
13,9,621
14,19,438
11,1,619
6,12,512
14,9,563
19,3,446
15,7,455
12,13,606
16,12,565
8,9,593
6,18,442
12,4,629
1,7,459
2,0,520
17,0,621
4,12,446
8,18,431
16,7,476
18,13,605
4,10,633
9,4,533
3,17,497
18,10,588
4,10,462
0,13,518
16,19,595
2,14,455
0,4,583
10,4,477
14,4,517
14,1,429
9,4,639
1,12,610
7,12,478
13,4,424
2,18,602
2,9,447
4,15,465
2,4,427
18,15,505
6,12,435
18,4,620
16,4,459
10,0,470
18,15,453
11,16,653
13,17,425
8,11,500
18,12,557
2,1,639
16,18,509
7,11,630
16,4,507
4,8,425
16,8,424
1,16,459
8,9,482
11,0,605
17,5,439
0,10,571
19,0,560
12,11,602
7,11,488
13,18,535
2,14,570
3,9,492
2,13,518
8,13,581
2,3,581
17,8,654
5,4,658
6,11,520
3,2,501
1,19,642
1,14,530
0,11,428
3,10,645
9,13,472
17,12,521
5,15,546
14,15,442
11,17,443
4,18,610
10,17,601
13,0,561
11,17,602
5,6,426
19,16,447
13,3,553
7,13,493
6,9,519
19,6,486
17,1,572
19,8,545
1,8,524
19,17,582
7,15,561
7,6,458
17,5,612
14,7,421
6,16,451
17,5,572
5,14,522
4,13,506
7,18,622
11,0,439
11,6,483
6,16,470
16,5,603
19,10,647
19,9,590
3,5,521
8,18,423
9,0,584
2,7,478
12,14,583
15,1,446
12,2,478
9,5,567
15,12,582
16,7,436
10,16,658
5,4,568
8,15,495
7,15,445
0,9,532
10,7,494
2,13,452
8,14,465
9,12,423
16,11,568
16,4,498
14,11,633
5,6,469
18,7,621
6,13,552
3,5,562
7,2,648
15,7,515
0,1,575
16,12,493
5,10,651
8,10,604
19,14,632
18,7,517
3,5,573
17,18,588
10,6,442
8,9,621
11,15,486
0,7,459
10,14,519
6,12,551
9,5,525
6,13,653
16,10,470
1,12,601
14,9,596
13,12,591
0,8,421
13,3,652
10,9,630
4,15,457
5,1,511
5,19,428
10,14,650
14,9,526
7,5,455
1,8,649
15,11,486
9,8,565
16,2,593
11,2,473
8,18,494
0,16,547
16,19,483
6,5,424
17,11,448
16,4,622
9,16,622
3,14,523
15,10,602
8,7,568
17,8,534
17,19,509
5,8,600
2,18,420
11,12,655
2,11,639
16,9,479
14,9,635
9,15,490
2,16,521
6,18,566
11,8,507
6,13,494
15,4,435
5,10,555
12,19,495
6,19,470
18,10,486
8,13,590
15,2,473
6,8,659
13,5,553
0,7,518
1,2,552
7,10,434
3,4,482
16,10,497
9,7,456
8,3,653
9,19,607
2,18,515
4,7,506
10,9,530
4,11,621
1,13,443
12,14,600
12,1,531
6,2,421
5,7,507
17,16,637
4,11,541
17,15,528
1,5,430
6,9,435
18,19,618
0,3,616
9,18,556
15,13,614
15,19,551
15,5,599
3,4,455
